id_oferta,id_oferta_num,curso,campus,turno,modalidade,n_trienios,media_ponderada_min,media_ponderada_max,desvio_ponderado_min,desvio_ponderado_max,slope_ponderada_min,slope_ponderada_max,momentum_min,momentum_max,aceleracao_min,aceleracao_max,curvatura_min,curvatura_max
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,67,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,CN,1,-21.925,-21.925,0.0,0.0,,,0.0,0.0,,,,
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,68,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,-35.707,-0.659,42.403,19.756,-16.05059,9.59393,-6.006,5.676,-153.57,-83.475,-41.3955,-18.0305
Artes Visuais (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,69,Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-64.314,-16.574,0.0,0.0,,,0.0,0.0,,,,
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,70,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,AC,3,-43.325,58.206,37.134,15.279,17.8253,10.1437,8.017,7.088,116.006,-9.776,14.50075,-1.222
Artes Visuais (Licenciatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,71,Artes Visuais (Licenciatura),Darcy Ribeiro,Noturno,AC,1,-13.502,-13.502,0.0,0.0,,,0.0,0.0,,,,
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,72,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,CN,2,-32.44,-32.44,1.128,1.128,-0.598,-0.598,-0.399,-0.399,,,,
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,73,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,-23.748,-23.748,0.0,0.0,,,0.0,0.0,,,,
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,74,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,1,-23.125,-23.125,0.0,0.0,,,0.0,0.0,,,,
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,75,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,-32.162,7.932,32.229,24.757,-21.532,-14.2948,-14.787,-7.651,12.96,-56.356,1.62,-7.0445
Artes Visuais (Licenciatura) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,76,Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,2,-20.754,-20.754,1.962,1.962,-2.081,-2.081,-0.694,-0.694,,,,
