curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Ciências Ambientais (Bacharelado),EP_R1_NPPI,1,-6.827,-6.827,-6.827,-6.827,0.0,0.0,-6.827,-6.827,-6.827,-6.827,-6.827,-6.827,0.0,0.0,0.0,,
Ciências Ambientais (Bacharelado),EP_R2_NPPI,3,-49.599,-29.414,-33.542,-13.823,20.185,19.719,-49.599,46.048,-33.542,46.048,-10.988,-0.439,10.549,16.057,0.0,-458.809,-9441.606
Ciências Ambientais (Bacharelado),EP_R2_PPI,4,-59.986,-51.524,-33.277,-51.524,8.462,-18.247,-59.986,-15.686,-51.524,-15.686,-38.595,-31.49,7.105,26.709,0.0,-53.515,-48.178
Ciências Contábeis (Bacharelado),AC,11,-77.991,-27.789,70.338,31.88,50.202,-38.458,-102.261,17.85,-10.335,84.034,-34.767,52.296,87.064,148.329,51.329,-124.813,52.279
Ciências Contábeis (Bacharelado),CN,8,5.872,-40.834,5.872,-24.325,-46.706,-30.197,-70.205,25.609,-24.978,25.609,-17.202,3.679,19.013,45.227,0.0,-176.484,574.699
Ciências Contábeis (Bacharelado),EP_R1_NPPI,7,-33.95,-54.966,-9.24,-29.047,-21.016,-19.807,-62.154,-33.95,-54.029,44.815,-48.39,-1.839,44.206,94.118,0.0,-23.178,-1848.127
Ciências Contábeis (Bacharelado),EP_R1_NPPIQ,1,-24.064,-24.064,-24.064,-24.064,0.0,0.0,-24.064,-24.064,-24.064,-24.064,-24.064,-24.064,0.0,0.0,0.0,,
Ciências Contábeis (Bacharelado),EP_R1_PPI,5,,-59.857,13.346,-59.857,,-73.203,-59.857,1.491,-59.857,13.346,-38.572,-25.77,3.022,12.089,0.0,-70.995,-122.374
Ciências Contábeis (Bacharelado),EP_R2_NPPI,8,-26.025,-75.965,9.416,-49.701,-49.94,-59.117,-76.035,-26.025,-68.678,55.242,-55.369,0.276,54.494,105.416,0.0,-37.487,14924.359
Ciências Contábeis (Bacharelado),EP_R2_NPPIQ,2,-50.333,-36.706,11.211,-21.206,13.627,-32.417,-50.333,-36.706,-21.206,11.211,-43.52,-4.998,38.522,61.544,15.5,-22.141,-458.675
Ciências Contábeis (Bacharelado),EP_R2_PPI,8,-43.271,-29.321,60.116,-6.142,13.95,-66.258,-53.936,-21.687,-21.687,60.116,-39.459,9.32,49.397,103.387,0.0,-29.498,298.766
Ciências Contábeis (Bacharelado),EP_R2_PPIQ,2,-81.153,-72.809,-5.417,-37.134,8.344,-31.717,-81.153,-72.809,-37.134,-5.417,-76.981,-21.276,55.706,75.736,35.675,-7.664,-105.414
Ciências Econômicas (Bacharelado),AC,6,39.606,98.037,170.983,136.512,58.431,-34.471,39.606,105.597,75.802,170.983,79.392,136.687,59.824,131.377,25.489,34.504,26.484
