curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Ciências Econômicas (Bacharelado),EP_R1_NPPIQ,1,-30.927,-30.927,,-30.927,-30.927,-30.927,-30.927,,-30.927,-30.927,0.0,,0.0,0.0,,
Ciências Econômicas (Bacharelado),EP_R1_PPI,3,-22.817,-25.591,10.803,-31.962,-10.898,33.463,29.074,32.516,3.364,67.95,56.28,21.806,35.326,78.848,-47.344,97.171
Ciências Econômicas (Bacharelado),EP_R2_NPPI,5,3.012,-8.931,56.339,-64.258,74.425,58.102,71.256,51.097,-22.961,116.541,55.09,37.685,6.922,102.411,1870.602,87.943
Ciências Econômicas (Bacharelado),EP_R2_NPPIQ,1,18.823,18.823,,18.823,18.823,94.124,94.124,,94.124,94.124,75.301,,75.301,75.301,,
Ciências Econômicas (Bacharelado),EP_R2_PPI,4,-37.674,-39.014,10.297,-48.677,-23.99,36.404,39.246,25.14,7.712,59.411,74.078,30.57,31.702,96.665,-27.333,69.058
Ciências Econômicas (Bacharelado),EP_R2_PPIQ,1,-17.699,-17.699,,-17.699,-17.699,30.922,30.922,,30.922,30.922,48.621,,48.621,48.621,,
Ciências Naturais (Licenciatura),AC,8,-73.836,-77.622,11.441,-85.5,-52.216,-13.486,-3.118,35.651,-85.5,21.657,60.35,34.393,0.0,94.368,-15.495,-264.352
Ciências Naturais (Licenciatura),CN,1,-90.203,-90.203,,-90.203,-90.203,-90.203,-90.203,,-90.203,-90.203,0.0,,0.0,0.0,,
Ciências Naturais (Licenciatura),EP_R1_PPI,2,-34.613,-34.613,21.325,-49.692,-19.534,-34.613,-34.613,21.325,-49.692,-19.534,0.0,0.0,0.0,0.0,-61.61,-61.61
Ciências Naturais (Licenciatura),EP_R2_PPI,3,-37.287,-37.156,0.799,-38.144,-36.562,-27.053,-36.562,16.987,-37.156,-7.442,10.234,17.726,0.0,30.702,-2.143,-62.789
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),AC,5,-16.418,-7.672,33.498,-73.444,11.533,74.396,71.472,11.846,63.097,94.463,90.814,26.214,70.082,136.541,-204.03,15.923
