Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2021-2023,2023,Darcy Ribeiro,Computação (Licenciatura),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-5.522,-5.522
2021-2023,2023,Darcy Ribeiro,Computação (Licenciatura),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-50.802,-11.64
2021-2023,2023,Darcy Ribeiro,Computação (Licenciatura),Noturno,EP_R2_NPPI_PCD,EP_R2_NPPI_PCD,True,R2,NPPI,True,1.5,18.874,18.874
2021-2023,2023,Darcy Ribeiro,Computação (Licenciatura),Noturno,CN,CN,False,,NEGROS,False,,35.66,35.66
2021-2023,2023,Darcy Ribeiro,Computação (Licenciatura),Noturno,AC,AC,False,,,False,,-26.5,71.725
2021-2023,2023,Darcy Ribeiro,Comunicação Organizacional (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-56.789,-56.789
2021-2023,2023,Darcy Ribeiro,Comunicação Organizacional (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-9.15,-9.15
2021-2023,2023,Darcy Ribeiro,Comunicação Organizacional (Bacharelado),Noturno,AC,AC,False,,,False,,-28.122,57.848
2021-2023,2023,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-34.127,-10.753
2021-2023,2023,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_PPI_PCD,EP_R2_PPI_PCD,True,R2,PPI,True,1.5,-6.39,-6.39
2021-2023,2023,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-15.585,74.452
2021-2023,2023,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,3.32,3.32
2021-2023,2023,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,AC,AC,False,,,False,,64.129,103.109
2021-2023,2023,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-11.438,-1.404
2021-2023,2023,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,28.907,28.907
2021-2023,2023,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-74.578,-74.578
2021-2023,2023,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,22.817,31.547
2021-2023,2023,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,66.561,66.561
2021-2023,2023,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,AC,AC,False,,,False,,69.286,79.509
2021-2023,2023,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-10.378,1.203
2021-2023,2023,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-3.349,-3.349
2021-2023,2023,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-33.34,-24.481
