subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,Ciências Ambientais (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-29.414,-13.823
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,Ciências Ambientais (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-39.988,-39.988
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,Ciências Ambientais (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-51.442,9.203
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-4.111,3.96
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,11.011,14.473
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-50.159,-26.927
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,40.429,40.429
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI_PCD,EP_R2_NPPI_PCD,True,R2,1.5,NPPI,True,-25.671,-25.671
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,24.351,24.351
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,92.094,139.272
