Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-8.722999999999999,-1.9010999999999976,True
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,9.148000000000003,-1.911891891891895,True
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,8.879000000000001,-2.117028571428571,True
Letras – Tradução – Espanhol (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-18.462000000000003,-2.143527027027025,True
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,18.555,-2.161500000000006,True
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-19.627000000000002,-2.2155810810810794,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,CN,6,2018-2020,2023-2025,3.1479999999999997,-2.3389428571428583,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-24.424,-2.450600000000001,True
Matemática (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-7.159999999999997,-2.455391891891895,True
Museologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-15.445,-2.499743243243247,True
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-14.242999999999999,-2.636175675675676,True
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,CN,5,2018-2020,2023-2025,-23.773,-2.694067567567567,True
Medicina (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-37.218,-2.8067567567567675,True
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,9.105,-2.981799999999998,True
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,-39.900999999999996,-3.0092571428571433,True
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-11.044000000000004,-3.0103999999999997,True
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-27.593000000000004,-3.252310810810818,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-17.894,-3.4838,True
Jornalismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-2.955,-3.6639000000000004,True
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-24.957,-3.6813000000000016,True
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-10.377,-3.6955999999999993,True
